Name,Tons Delivered,Tons Sold,Method,CDR_Link,Company_Link
Climeworks,973,369 118,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/climeworks,https://climeworks.com/
Hjelmsäters Egendom,929,929,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/hjelmsaters,https://www.hjelmsater.se/
Eion,894,92 093,Enhanced Weathering,https://www.cdr.fyi/supplier/eion,https://eioncarbon.com/
Terra Fertilis | Sylva Fertilis,858,858,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/terrafertillis,https://terrafertilis.com/
Explocom GK SRL,632,642,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/explocom,https://www.retorte.ro/en/home/
Husk,613,3 938,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/husk,https://www.huskventures.com/
"Wongphai Co.,Ltd",596,596,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/wongphai,www.wongphai.com
Bordet,528,528,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/bordet,http://www.groupebordet.fr/
Auen Pflege Dienst APD Flaach,500,500,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/auen-pflege-dienst-apd-flaach,https://www.a-p-d.ch/
Mati,473,7 187,Enhanced Weathering,https://www.cdr.fyi/supplier/mati,https://mati.earth/
Carbon Hill,467,667,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbon-hill,https://puro.earth/CORC-co2-removal-certificate/carbon-hill-100179
Klimafarmer,423,423,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/klimafarmer,https://klimafarmer.de/
Verora,415,415,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/Verora,https://www.verora.ch/
V-Grid Energy Systems,411,822,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/v-grid-energy-systems,https://vgridenergy.com/
Pyrocal,409,1 024,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/pyrocal,https://www.pyrocal.com.au/
Corigin Solutions,394,394,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/corigin-solutions,https://www.corigin.co/
Premier Forest,325,325,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/premier-forest,https://premierforest.co.uk/
Jeffries Group,324,324,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/jeffries-group,https://jeffries.com.au/
Alcom Carbon Markets,281,281,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/alcom-carbon-markets,https://alcomcm.com
BLOCK Bio Innovationen GmbH & Co. KG,262,1 000,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/block-pflanzenkohle,www.block-pflanzenkohle.de
Sonnenerde,256,671,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/sonnenerde,https://www.sonnenerde.at/de/
Carbon Capture Inc.,237,91 186,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/carbon-capture,https://www.carboncapture.com/
Gekka Biochar,205,205,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/gekka-biochar,https://www.bio-gekka.ro/
Everest Carbon,175,185,Enhanced Weathering,https://www.cdr.fyi/supplier/everest-carbon,https://www.everestcarbon.co/
Project Vesta,154,4 291,Enhanced Weathering,https://www.cdr.fyi/supplier/project-vesta,https://www.vesta.earth/
Planetary,153,3 216,Ocean Alkalinity Enhancement,https://www.cdr.fyi/supplier/planetary,https://www.planetarytech.com/
InPlanet,141,5 982,Enhanced Weathering,https://www.cdr.fyi/supplier/inplanet,https://inplanet.earth/
"Restoration Fuels, LLC",137,137,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/restoration-fuels,www.restorationfuels.com
Circonomy Pte. Ltd.,132,202,,https://www.cdr.fyi/supplier/circonomy,https://www.circonomy.co
Harrison Renewables,114,114,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/harrison-renewables,https://harrisonrenewables.com/
Siotuu,104,104,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/siotuu,https://siotuu.com/en/home-e/
Biosorra,97,1 947,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/biosorra,https://www.biosorra.com/
Glanris,70,70,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/glanris,https://www.glanris.com/
Carbo Culture,38,8 852,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbo-culture,https://carboculture.com/
Basna d.o.o.,37,37,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/basna-doo,https://www.basna.net/
Lithos,29,173 837,Enhanced Weathering,https://www.cdr.fyi/supplier/lithos,https://www.lithoscarbon.com
BC Biocarbon,27,27,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/bc-biocarbon,https://www.bcbiocarbon.com/
Liquid Trees,26,26,Microalgal Capture and Storage,https://www.cdr.fyi/supplier/10b-solutions,https://liquidtrees.org/
