Name,Tons Delivered,Tons Sold,Method,CDR_Link
V-Grid Energy Systems,411,822,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/v-grid-energy-systems
Pyrocal,409,1 024,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/pyrocal
Corigin Solutions,394,394,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/corigin-solutions
Premier Forest,325,325,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/premier-forest
Jeffries Group,324,324,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/jeffries-group
Alcom Carbon Markets,281,281,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/alcom-carbon-markets
BLOCK Bio Innovationen GmbH & Co. KG,262,1 000,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/block-pflanzenkohle
Sonnenerde,256,671,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/sonnenerde
Carbon Capture Inc.,237,91 186,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/carbon-capture
Gekka Biochar,205,205,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/gekka-biochar
Everest Carbon,175,185,Enhanced Weathering,https://www.cdr.fyi/supplier/everest-carbon
Project Vesta,154,4 291,Enhanced Weathering,https://www.cdr.fyi/supplier/project-vesta
Planetary,153,3 216,Ocean Alkalinity Enhancement,https://www.cdr.fyi/supplier/planetary
InPlanet,141,5 982,Enhanced Weathering,https://www.cdr.fyi/supplier/inplanet
"Restoration Fuels, LLC",137,137,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/restoration-fuels
Circonomy Pte. Ltd.,132,202,,https://www.cdr.fyi/supplier/circonomy
Harrison Renewables,114,114,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/harrison-renewables
Siotuu,104,104,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/siotuu
Biosorra,97,1 947,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/biosorra
Glanris,70,70,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/glanris
Carbo Culture,38,8 852,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbo-culture
Basna d.o.o.,37,37,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/basna-doo
Lithos,29,173 837,Enhanced Weathering,https://www.cdr.fyi/supplier/lithos
BC Biocarbon,27,27,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/bc-biocarbon
Liquid Trees,26,26,Microalgal Capture and Storage,https://www.cdr.fyi/supplier/10b-solutions
Carbonex | Soler Group,24,24,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbonex
Fetzer Rohstoffe,22,22,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/fetzerrohstoffe
CarbonRun,21,56 803,River Alkalinity Enhancement,https://www.cdr.fyi/supplier/carbonrun
Stiesdal,16,16,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/stiesdal
Carbon Lockdown,15,1 151,Biomass Direct Storage,https://www.cdr.fyi/supplier/carbon-lockdown-project
Woodcache PBC,14,350,Biomass Direct Storage,https://www.cdr.fyi/supplier/woodcache-pbc
Limenet,14,1 000,Ocean Alkalinity Enhancement,https://www.cdr.fyi/supplier/limenet
Gaia Refinery,11,41,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/gaia-refinery
AspiraDAC,9,514,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/aspiradac
Bluefield Renewable Energy,6,6,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/bluefield-renewable-energy
Holy Grail,0,45,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/holy-grail
Octavia Carbon,0,1 674,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/octavia-carbon
1PointFive,0,1 285 852,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/1pointfive
Euthenia Energy,0,11 163,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/euthenia-energy
Anvil Capture Systems,0,357,Ex-situ Mineralization,https://www.cdr.fyi/supplier/anvil
Equatic,0,64 440,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/equatic
Stockholm Exergi,0,3 330 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/stockholm-exergi
Cedar Carbon,0,1,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/cedar-carbon
Noya,0,4 371,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/noya
Planeteers,0,255,Ocean Alkalinity Enhancement,https://www.cdr.fyi/supplier/planeteers
Rewind.earth,0,195,Marine Biomass Sinking,https://www.cdr.fyi/supplier/rewind-earth
Arbon,0,173,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/arbon
CarbonBuilt,0,6 757,Ex-situ Mineralization,https://www.cdr.fyi/supplier/carbonbuilt
Alkali Earth,0,2 682,Enhanced Weathering,https://www.cdr.fyi/supplier/alkali-earth
Captura,0,30 552,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/captura
Ørsted,0,4 001 500,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/orsted
Levitree,0,300,Biomass Direct Storage,https://www.cdr.fyi/supplier/levitree
Parallel Carbon,0,218,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/parallelcarbon
NULIFE Greentech,0,796,Bio-oil Sequestration,https://www.cdr.fyi/supplier/nulife-greentech
Ucaneo,0,286,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/ucaneo
SeaO2,0,140,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/seao2
Brilliant Planet,0,1 706,Microalgal Capture and Storage,https://www.cdr.fyi/supplier/brilliant-planet
Arbor,0,26 462,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/arbor
CO280,0,3 909 446,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/co280
PyroCCS,0,992,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/pyroccs
Öresundskraft AB,0,120 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/oresundskraft
Heirloom,0,343 005,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/heirloom
TerraFixing,0,295,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/terrafixing
Phlair,0,47 481,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/phlair
Skyrenu,0,20,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/skyrenu
Yama Carbon,0,134,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/yama-carbon
Takachar,0,2 417,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/takachar
Nūxsen,0,2,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/nuxsen
Emergent Waste Solution,0,50,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/emergent-waste-solutions
Bio Restorative Ideas,0,3 290,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/bio-restorative-ideas
CO₂ Energie | Regionalwerke AG Baden,0,21 800,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/co2-energie
Lillianah Technologies,0,150,Marine Biomass Sinking,https://www.cdr.fyi/supplier/lillianah-technologies
InterEarth,0,30 088,Biomass Direct Storage,https://www.cdr.fyi/supplier/interearth
Silicate,0,2 734,Enhanced Weathering,https://www.cdr.fyi/supplier/silicate
Alithic,0,285,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/alithic
Airhive,0,943,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/airhive
Flux Carbon,0,1 682,Enhanced Weathering,https://www.cdr.fyi/supplier/flux-carbon
Aquarry,0,500,Ocean Alkalinity Enhancement,https://www.cdr.fyi/supplier/aquarry
Drax,0,27 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/drax
Holocene,0,100 492,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/holocene
The Next 150,0,117 500,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/the-next-150
Vycarb,0,658,Ocean Alkalinity Enhancement,https://www.cdr.fyi/supplier/vycarb
44.01,0,6 023,In-situ Mineralization,https://www.cdr.fyi/supplier/44.01
EDAC Labs,0,317,Enhanced Weathering,https://www.cdr.fyi/supplier/edac-labs
Cella,0,2 542,In-situ Mineralization,https://www.cdr.fyi/supplier/cella
Applied Carbon,0,82 530,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/applied-carbon
Arca,0,664,Surficial Mineralization,https://www.cdr.fyi/supplier/arca
Exterra Carbon Solutions,0,1 100,Ex-situ Mineralization,https://www.cdr.fyi/supplier/exterra-carbon-solutions
Deep Sky,0,10 000,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/deep-sky
agriCARBON,0,6 001,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/agricarbon
Elimini,0,3 130,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/elimini
Spiritus,0,974,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/spiritus
